avots,id,nosaukums,url,diena,cves,tips
0day,FoF-Pretty-Mail-1-1-2-Server-Side-Template-Injection-Vulnerabili,FoF Pretty Mail 1.1.2 Server-Side Template Injection Vulnerability,,2024-04-01 00:00:00+00:00,,
0day,FoF-Pretty-Mail-1-1-2-Local-File-Inclusion-Vulnerability,FoF Pretty Mail 1.1.2 Local File Inclusion Vulnerability,,2024-04-01 00:00:00+00:00,,lfi
0day,FoF-Pretty-Mail-1-1-2-Command-Injection-Vulnerability,FoF Pretty Mail 1.1.2 Command Injection Vulnerability,,2024-04-01 00:00:00+00:00,,
0day,Intel-PowerGadget-3-6-Local-Privilege-Escalation,Intel PowerGadget 3.6 Local Privilege Escalation,,2024-04-01 00:00:00+00:00,,priv_esc
0day,WatchGuard-XTM-Firebox-Unauthenticated-Remote-Command-Execution-,WatchGuard XTM Firebox Unauthenticated Remote Command Execution Exploit,,2024-04-01 00:00:00+00:00,CVE-2022-26318,
0day,TeamCity-Agent-XML-RPC-Command-Execution-Exploit,TeamCity Agent XML-RPC Command Execution Exploit,,2024-04-01 00:00:00+00:00,,
0day,Gibbon-26-0-00-Server-Side-Template-Injection-Remote-Code-Execut,Gibbon 26.0.00 Server-Side Template Injection / Remote Code Execution Exploit,,2024-04-01 00:00:00+00:00,CVE-2024-24724,rce
0day,BioTime-Directory-Traversal-Remote-Code-Execution-Exploit,BioTime Directory Traversal / Remote Code Execution Exploit,,2024-04-01 00:00:00+00:00,,rce
0day,GL-iNet-MT6000-4-5-5-Arbitrary-File-Download-Exploit,GL.iNet MT6000 4.5.5 - Arbitrary File Download Exploit,,2024-04-02 00:00:00+00:00,CVE-2024-27356,
0day,Simple-Backup-Plugin-2-7-10-Path-Traversal-Exploit,Simple Backup Plugin 2.7.10 - Path Traversal Exploit,,2024-04-02 00:00:00+00:00,,
0day,Online-Hotel-Booking-In-PHP-1-0-Blind-SQL-Injection-Unauthentica,Online Hotel Booking In PHP 1.0 - Blind SQL Injection (Unauthenticated) Exploit,,2024-04-02 00:00:00+00:00,,sqli
0day,ASUS-Control-Center-Express-01-06-15-Unquoted-Service-Path-Vulne,ASUS Control Center Express 01.06.15 - Unquoted Service Path Vulnerability,,2024-04-02 00:00:00+00:00,,
0day,OpenCart-Core-4-0-2-3-search-SQL-injection-Vulnerability,OpenCart Core 4.0.2.3 - (search) SQL injection Vulnerability,,2024-04-02 00:00:00+00:00,,sqli
0day,Rapid7-nexpose-nexposeconsole-Unquoted-Service-Path-Vulnerabilit,Rapid7 nexpose - (nexposeconsole) Unquoted Service Path Vulnerability,,2024-04-02 00:00:00+00:00,,
0day,Petrol-Pump-Management-Software-v1-0-Remote-Code-Execution-Vulne,Petrol Pump Management Software v1.0 - Remote Code Execution Vulnerability,,2024-04-02 00:00:00+00:00,,rce
0day,Hospital-Management-System-v1-0-Stored-Cross-Site-Scripting-Vuln,Hospital Management System v1.0 - Stored Cross Site Scripting Vulnerability,,2024-04-02 00:00:00+00:00,,xss
0day,Microsoft-Windows-10-0-17763-5458-Kernel-Privilege-Escalation-Ex,Microsoft Windows 10.0.17763.5458 - Kernel Privilege Escalation Exploit,,2024-04-02 00:00:00+00:00,CVE-2024-21338,priv_esc
0day,Employee-Management-System-1-0-txtfullname-and-txtphone-SQL-Inje,Employee Management System 1.0 - (txtfullname) and (txtphone) SQL Injection Vulnerability,,2024-04-02 00:00:00+00:00,CVE-2024-24499,sqli
0day,Employee-Management-System-1-0-txtusername-and-txtpassword-SQL-I,Employee Management System 1.0 - (txtusername) and (txtpassword) SQL Injection Vulnerability,,2024-04-02 00:00:00+00:00,CVE-2024-24497,sqli
0day,Daily-Habit-Tracker-1-0-Stored-Cross-Site-Scripting-Vulnerabilit,Daily Habit Tracker 1.0 - Stored Cross-Site Scripting Vulnerability,,2024-04-02 00:00:00+00:00,CVE-2024-24494,
0day,Daily-Habit-Tracker-1-0-SQL-Injection-Vulnerability,Daily Habit Tracker 1.0 - SQL Injection Vulnerability,,2024-04-02 00:00:00+00:00,CVE-2024-24495,sqli
0day,Daily-Habit-Tracker-1-0-Broken-Access-Control-Vulnerability,Daily Habit Tracker 1.0 - Broken Access Control Vulnerability,,2024-04-02 00:00:00+00:00,CVE-2024-24496,
0day,Smart-School-6-4-1-SQL-Injection-Vulnerability,Smart School 6.4.1 - SQL Injection Vulnerability,,2024-04-02 00:00:00+00:00,CVE-2023-5495,sqli
0day,ESET-NOD32-Antivirus-17-0-16-0-Unquoted-Service-Path-Vulnerabili,ESET NOD32 Antivirus 17.0.16.0 - Unquoted Service Path Vulnerability,,2024-04-03 00:00:00+00:00,,
0day,Computer-Laboratory-Management-System-v1-0-Multiple-SQL-injectio,Computer Laboratory Management System v1.0 - Multiple SQL injection Vulnerability,,2024-04-03 00:00:00+00:00,,sqli
0day,Wordpress-Alemha-Watermarker-1-3-1-Plugin-Stored-Cross-Site-Scri,Wordpress Alemha Watermarker 1.3.1 Plugin - Stored Cross-Site Scripting Vulnerability,,2024-04-03 00:00:00+00:00,,
0day,Quick-CMS-v6-7-en-2023-password-SQL-injection-Vulnerability,Quick CMS v6.7 en 2023 - (password) SQL injection Vulnerability,,2024-04-03 00:00:00+00:00,,sqli
0day,WordPress-Membership-For-WooCommerce-Shell-Upload-Vulnerability,WordPress Membership For WooCommerce Shell Upload Vulnerability,,2024-04-05 00:00:00+00:00,,rce
0day,User-Registration-And-Login-And-User-Management-System-3-2-SQL-I,User Registration And Login And User Management System 3.2 SQL Injection Vulnerability,,2024-04-05 00:00:00+00:00,,sqli
0day,Positron-Broadcast-Signal-Processor-TRA7005-1-20-Authentication-,Positron Broadcast Signal Processor TRA7005 1.20 Authentication Bypass Exploit,,2024-04-05 00:00:00+00:00,,
0day,AnyDesk-7-0-15-Unquoted-Service-Path-Vulnerability,AnyDesk 7.0.15 - Unquoted Service Path Vulnerability,,2024-04-08 00:00:00+00:00,,
0day,Wordpress-Travelscape-v1-0-3-Theme-Arbitrary-File-Upload-Exploit,Wordpress Travelscape v1.0.3 Theme - Arbitrary File Upload Exploit,,2024-04-08 00:00:00+00:00,,
0day,Positron-Broadcast-Signal-Processor-TRA7005-v1-20-Authentication,Positron Broadcast Signal Processor TRA7005 v1.20 - Authentication Bypass Exploit,,2024-04-08 00:00:00+00:00,,
0day,Human-Resource-Management-System-v1-0-Multiple-SQL-injection-Vul,Human Resource Management System v1.0 - Multiple SQL injection Vulnerability,,2024-04-08 00:00:00+00:00,,rce
0day,UP-RESULT-0-1-2024-SQL-Injection-Vulnerability,UP-RESULT 0.1 2024 SQL Injection Vulnerability,,2024-04-08 00:00:00+00:00,,sqli
0day,Best-Student-Result-Management-System-v1-0-Multiple-SQL-injectio,Best Student Result Management System v1.0 - Multiple SQL injection Vulnerability,,2024-04-08 00:00:00+00:00,,sqli
0day,Daily-Expense-Manager-1-0-term-SQL-injection-Vulnerability,Daily Expense Manager 1.0 - (term) SQL injection Vulnerability,,2024-04-08 00:00:00+00:00,,sqli
0day,Open-Source-Medicine-Ordering-System-v1-0-SQL-injection-Exploit,Open Source Medicine Ordering System v1.0 - SQL injection Exploit,,2024-04-08 00:00:00+00:00,,rce
0day,Invision-Community-4-7-15-SQL-Injection-Vulnerability,Invision Community 4.7.15 SQL Injection Vulnerability,,2024-04-08 00:00:00+00:00,CVE-2024-30163,sqli
0day,Invision-Community-4-7-16-Remote-Code-Execution-Vulnerability,Invision Community 4.7.16 Remote Code Execution Vulnerability,,2024-04-08 00:00:00+00:00,CVE-2024-30162,rce
0day,Trimble-TM4Web-22-2-0-Privilege-Escalation-Access-Code-Disclosur,Trimble TM4Web 22.2.0 Privilege Escalation / Access Code Disclosure Vulnerability,,2024-04-11 00:00:00+00:00,CVE-2023-27195,priv_esc
0day,GUnet-OpenEclass-E-learning-3-15-File-Upload-Command-Execution-E,GUnet OpenEclass E-learning 3.15 File Upload / Command Execution Exploit,,2024-04-11 00:00:00+00:00,CVE-2024-31777,
0day,CHAOS-RAT-5-0-1-Remote-Command-Execution-Exploit,CHAOS RAT 5.0.1 Remote Command Execution Exploit,,2024-04-11 00:00:00+00:00,"CVE-2024-30850,CVE-2024-31839",
0day,MinIO-2024-01-31T20-20-33Z-Privilege-Escalation-Exploit,MinIO < 2024-01-31T20-20-33Z - Privilege Escalation Exploit,,2024-04-12 00:00:00+00:00,CVE-2024-24747,priv_esc
0day,Ray-OS-v2-6-3-Command-Injection-Exploit,Ray OS v2.6.3 - Command Injection Exploit,,2024-04-12 00:00:00+00:00,CVE-2023-6019,
0day,Terratec-dmx-6fire-USB-Unquoted-Service-Path-Vulnerability,Terratec dmx_6fire USB - Unquoted Service Path Vulnerability,,2024-04-12 00:00:00+00:00,CVE-2024-31804,
0day,HTMLy-Version-v2-9-6-Stored-XSS-Vulnerability,HTMLy Version v2.9.6 - Stored XSS Vulnerability,,2024-04-12 00:00:00+00:00,,xss
0day,PopojiCMS-Version-2-0-1-Remote-Command-Execution-Vulnerability,PopojiCMS Version 2.0.1 - Remote Command Execution Vulnerability,,2024-04-12 00:00:00+00:00,,
0day,PrusaSlicer-2-6-1-Arbitrary-code-execution-Vulnerability,PrusaSlicer 2.6.1 - Arbitrary code execution Vulnerability,,2024-04-12 00:00:00+00:00,CVE-2023-47268,rce
0day,Moodle-3-10-1-Authenticated-Blind-Time-Based-SQL-Injection-sort-,Moodle 3.10.1 - Authenticated Blind Time-Based SQL Injection - (sort) parameter Exploit,,2024-04-12 00:00:00+00:00,CVE-2021-36393,sqli
0day,WBCE-1-6-0-Unauthenticated-SQL-injection-Vulnerability,WBCE 1.6.0 - Unauthenticated SQL injection Vulnerability,,2024-04-12 00:00:00+00:00,CVE-2023-39796,sqli
0day,Wordpress-WP-Video-Playlist-1-1-1-Plugin-Stored-Cross-Site-Scrip,Wordpress WP Video Playlist 1.1.1 Plugin - Stored Cross-Site Scripting Vulnerability,,2024-04-12 00:00:00+00:00,,
0day,Wordpress-Playlist-for-Youtube-1-32-Plugin-Stored-Cross-Site-Scr,Wordpress Playlist for Youtube 1.32 Plugin - Stored Cross-Site Scripting Vulnerability,,2024-04-12 00:00:00+00:00,,
0day,Open-eShop-2-7-0-Cross-Site-Scripting-Vulnerability,Open eShop 2.7.0 Cross Site Scripting Vulnerability,,2024-04-12 00:00:00+00:00,,xss
0day,Concrete-CMS-9-2-7-Cross-Site-Scripting-Open-Redirect-Vulnerabil,Concrete CMS 9.2.7 Cross Site Scripting / Open Redirect Vulnerabilities,,2024-04-12 00:00:00+00:00,,xss
0day,Gibbon-School-Platform-Authenticated-PHP-Deserialization-Exploit,Gibbon School Platform Authenticated PHP Deserialization Exploit,,2024-04-12 00:00:00+00:00,CVE-2024-24725,
0day,Savsoft-Quiz-v6-0-Enterprise-Stored-XSS-Vulnerability,Savsoft Quiz v6.0 Enterprise - Stored XSS Vulnerability,,2024-04-15 00:00:00+00:00,,xss
0day,Online-Fire-Reporting-System-OFRS-SQL-Injection-Authentication-B,Online Fire Reporting System OFRS - SQL Injection Authentication Bypass Exploit,,2024-04-15 00:00:00+00:00,,sqli
0day,Stock-Management-System-v1-0-Unauthenticated-SQL-Injection-Explo,Stock Management System v1.0 - Unauthenticated SQL Injection Exploit,,2024-04-15 00:00:00+00:00,CVE-2023-51951,sqli
0day,BMC-Compuware-iStrobe-Web-20-13-Pre-auth-Remote-Code-Execution-E,BMC Compuware iStrobe Web - 20.13 - Pre-auth Remote Code Execution Exploit,,2024-04-15 00:00:00+00:00,CVE-2023-40304,rce
0day,djangorestframework-simplejwt-5-3-1-Information-Disclosure-Explo,djangorestframework-simplejwt 5.3.1 - Information Disclosure Exploit,,2024-04-15 00:00:00+00:00,CVE-2024-22513,info
0day,OpenClinic-GA-5-247-01-Information-Disclosure-Vulnerability,OpenClinic GA 5.247.01 - Information Disclosure Vulnerability,,2024-04-15 00:00:00+00:00,CVE-2023-40278,info
0day,OpenClinic-GA-5-247-01-Path-Traversal-Authenticated-Vulnerabilit,OpenClinic GA 5.247.01 - Path Traversal (Authenticated) Vulnerability,,2024-04-15 00:00:00+00:00,CVE-2023-40279,
0day,CrushFTP-Remote-Code-Execution-Exploit,CrushFTP Remote Code Execution Exploit,,2024-04-15 00:00:00+00:00,CVE-2023-43177,rce
0day,Centreon-23-10-1-el8-SQL-Injection-Vulnerability,Centreon 23.10-1.el8 SQL Injection Vulnerability,,2024-04-16 00:00:00+00:00,,sqli
0day,Palo-Alto-OS-Command-Injection-Vulnerability,Palo Alto OS Command Injection Vulnerability,,2024-04-17 00:00:00+00:00,CVE-2024-3400,
0day,pgAdmin-8-3-Remote-Code-Execution-Exploit,pgAdmin 8.3 Remote Code Execution Exploit,,2024-04-17 00:00:00+00:00,CVE-2024-2044,rce
0day,Palo-Alto-PAN-OS-v11-1-2-h3-Command-Injection-and-Arbitrary-File,Palo Alto PAN-OS < v11.1.2-h3 - Command Injection and Arbitrary File Creation Exploit,,2024-04-21 00:00:00+00:00,CVE-2024-3400,
0day,FlatPress-v1-3-Remote-Command-Execution-Exploit,FlatPress v1.3 - Remote Command Execution Exploit,,2024-04-21 00:00:00+00:00,,
0day,SofaWiki-3-9-2-Remote-Command-Execution-Authenticated-Exploit,SofaWiki 3.9.2 - Remote Command Execution (Authenticated) Exploit,,2024-04-21 00:00:00+00:00,,
0day,Wordpress-Background-Image-Cropper-v1-2-Plugin-Remote-Code-Execu,Wordpress Background Image Cropper v1.2 Plugin - Remote Code Execution Exploit,,2024-04-21 00:00:00+00:00,,rce
0day,Laravel-Framework-11-Credential-Leakage-Vulnerability,Laravel Framework 11 - Credential Leakage Vulnerability,,2024-04-21 00:00:00+00:00,CVE-2024-29291,info
0day,Elber-Signum-DVB-S-S2-IRD-For-Radio-Networks-1-999-Authenticatio,Elber Signum DVB-S/S2 IRD For Radio Networks 1.999 Authentication Bypass Vulnerability,,2024-04-22 00:00:00+00:00,,
0day,Elber-Signum-DVB-S-S2-IRD-For-Radio-Networks-1-999-Insecure-Dire,Elber Signum DVB-S/S2 IRD For Radio Networks 1.999 Insecure Direct Object Reference Vulnerability,,2024-04-22 00:00:00+00:00,,
0day,Elber-Cleber-3-Broadcast-Multi-Purpose-Platform-1-0-0-Insecure-D,Elber Cleber/3 Broadcast Multi-Purpose Platform 1.0.0 Insecure Direct Object Reference Vulnerability,,2024-04-22 00:00:00+00:00,,
0day,Elber-Reble610-M-ODU-XPIC-IP-ASI-SDH-Microwave-Link-Authenticati,Elber Reble610 M/ODU XPIC IP-ASI-SDH Microwave Link Authentication Bypass Vulnerability,,2024-04-22 00:00:00+00:00,,
0day,Elber-Reble610-M-ODU-XPIC-IP-ASI-SDH-Microwave-Link-Insecure-Dir,Elber Reble610 M/ODU XPIC IP-ASI-SDH Microwave Link Insecure Direct Object Reference Vulnerability,,2024-04-22 00:00:00+00:00,,
0day,Elber-ESE-DVB-S-S2-Satellite-Receiver-1-5-x-Authentication-Bypas,Elber ESE DVB-S/S2 Satellite Receiver 1.5.x Authentication Bypass Vulnerability,,2024-04-22 00:00:00+00:00,,
0day,Elber-ESE-DVB-S-S2-Satellite-Receiver-1-5-x-Insecure-Direct-Obje,Elber ESE DVB-S/S2 Satellite Receiver 1.5.x Insecure Direct Object Reference Vulnerability,,2024-04-22 00:00:00+00:00,,
0day,Elber-Wayber-Analog-Digital-Audio-STL-4-00-Authentication-Bypass,Elber Wayber Analog/Digital Audio STL 4.00 Authentication Bypass Vulnerability,,2024-04-22 00:00:00+00:00,,
0day,Elber-Wayber-Analog-Digital-Audio-STL-4-00-Insecure-Direct-Objec,Elber Wayber Analog/Digital Audio STL 4.00 Insecure Direct Object Reference Vulnerability,,2024-04-22 00:00:00+00:00,,
0day,Palo-Alto-Networks-PAN-OS-Unauthenticated-Remote-Code-Execution-,Palo Alto Networks PAN-OS Unauthenticated Remote Code Execution Exploit,,2024-04-23 00:00:00+00:00,CVE-2024-3400,rce
0day,Gambio-Online-Webshop-4-9-2-0-Remote-Code-Execution-Exploit,Gambio Online Webshop 4.9.2.0 Remote Code Execution Exploit,,2024-04-23 00:00:00+00:00,CVE-2024-23759,rce
0day,FortiNet-FortiClient-EMS-7-2-2-7-0-10-SQL-Injection-Remote-Code-,FortiNet FortiClient EMS 7.2.2 / 7.0.10 SQL Injection / Remote Code Execution Exploit,,2024-04-23 00:00:00+00:00,CVE-2023-48788,rce
0day,GitLens-Git-Local-Configuration-Execution-Exploit,GitLens Git Local Configuration Execution Exploit,,2024-04-23 00:00:00+00:00,CVE-2023-46944,
0day,Nginx-1-25-5-Host-Header-Validation-Vulnerability,Nginx 1.25.5 Host Header Validation Vulnerability,,2024-04-24 00:00:00+00:00,,
0day,Relate-Learning-And-Teaching-System-SSTI-Remote-Code-Execution-V,Relate Learning And Teaching System SSTI / Remote Code Execution Vulnerability,,2024-04-24 00:00:00+00:00,,rce
0day,Apache-Solr-Backup-Restore-API-Remote-Code-Execution-Exploit,Apache Solr Backup/Restore API Remote Code Execution Exploit,,2024-04-24 00:00:00+00:00,CVE-2023-50386,rce
0day,ESET-NOD32-Antivirus-17-1-11-0-Unquoted-Service-Path-Vulnerabili,ESET NOD32 Antivirus 17.1.11.0 Unquoted Service Path Vulnerability,,2024-04-29 00:00:00+00:00,,
0day,Doctor-Appointment-Management-System-1-0-Cross-Site-Scripting-Vu,Doctor Appointment Management System 1.0 Cross Site Scripting Vulnerability,,2024-04-29 00:00:00+00:00,CVE-2024-4293,xss
0day,Kemp-LoadMaster-Unauthenticated-Command-Injection-Exploit,Kemp LoadMaster Unauthenticated Command Injection Exploit,,2024-04-29 00:00:00+00:00,CVE-2024-1212,
0day,SOPlanning-1-52-00-Cross-Site-Request-Forgery-Vulnerability,SOPlanning 1.52.00 Cross Site Request Forgery Vulnerability,,2024-05-03 00:00:00+00:00,,csrf
0day,SOPlanning-1-52-00-Cross-Site-Scripting-Vulnerability,SOPlanning 1.52.00 Cross Site Scripting Vulnerability,,2024-05-03 00:00:00+00:00,,xss
0day,SOPlanning-1-52-00-SQL-Injection-Vulnerability,SOPlanning 1.52.00 SQL Injection Vulnerability,,2024-05-03 00:00:00+00:00,,sqli
0day,Docker-Privileged-Container-Kernel-Escape-Exploit,Docker Privileged Container Kernel Escape Exploit,,2024-05-07 00:00:00+00:00,,
0day,Clinic-Queuing-System-1-0-Remote-Code-Execution-Exploit,Clinic Queuing System 1.0 - Remote Code Execution Exploit,,2024-05-08 00:00:00+00:00,"CVE-2024-0264,CVE-2024-0265",rce
0day,iboss-Secure-Web-Gateway-Stored-Cross-Site-Scripting-Vulnerabili,iboss Secure Web Gateway - Stored Cross-Site Scripting Vulnerability,,2024-05-08 00:00:00+00:00,CVE-2024-3378,
0day,Openmediavault-Remote-Code-Execution-Local-Privilege-Escalation-,Openmediavault Remote Code Execution / Local Privilege Escalation Exploit,,2024-05-10 00:00:00+00:00,,rce
0day,Apache-mod-proxy-cluster-Stored-XSS-Exploit,Apache mod_proxy_cluster - Stored XSS Exploit,,2024-05-13 00:00:00+00:00,,xss
0day,Plantronics-Hub-3-25-1-Arbitrary-File-Read-Vulnerability,Plantronics Hub 3.25.1 - Arbitrary File Read Vulnerability,,2024-05-13 00:00:00+00:00,CVE-2024-27460,
0day,CrushFTP-11-1-0-Directory-Traversal-Exploit,CrushFTP < 11.1.0 - Directory Traversal Exploit,,2024-05-13 00:00:00+00:00,,
0day,Chyrp-2-5-2-Stored-XSS-Vulnerability,Chyrp 2.5.2 - Stored XSS Vulnerability,,2024-05-13 00:00:00+00:00,,xss
0day,Leafpub-1-1-9-Stored-XSS-Vulnerability,Leafpub 1.1.9 - Stored XSS Vulnerability,,2024-05-13 00:00:00+00:00,,xss
0day,CE-Phoenix-Version-1-0-8-20-Stored-XSS-Vulnerability,CE Phoenix Version 1.0.8.20 - Stored XSS Vulnerability,,2024-05-13 00:00:00+00:00,,xss
0day,PyroCMS-v3-0-1-Stored-XSS-Vulnerability,PyroCMS v3.0.1 - Stored XSS Vulnerability,,2024-05-13 00:00:00+00:00,,xss
0day,Prison-Management-System-SQL-Injection-Authentication-Bypass-Vul,Prison Management System - SQL Injection Authentication Bypass Vulnerability,,2024-05-13 00:00:00+00:00,,sqli
0day,Kemp-LoadMaster-Local-sudo-Privilege-Escalation-Exploit,Kemp LoadMaster Local sudo Privilege Escalation Exploit,,2024-05-13 00:00:00+00:00,,priv_esc
0day,Openmediavault-Remote-Code-Execution-Local-Privilege-Escalation-,Openmediavault Remote Code Execution / Local Privilege Escalation Exploit,,2024-05-13 00:00:00+00:00,,rce
0day,Cacti-1-2-26-Remote-Code-Execution-Vulnerability,Cacti 1.2.26 Remote Code Execution Vulnerability,,2024-05-15 00:00:00+00:00,CVE-2024-25641,rce
0day,Zope-5-9-Command-Injection-Vulnerability,Zope 5.9 Command Injection Vulnerability,,2024-05-15 00:00:00+00:00,CVE-2024-33828,
0day,Rocket-LMS-1-9-Persistent-Cross-Site-Scripting-Vulnerability,Rocket LMS 1.9 - Persistent Cross Site Scripting Vulnerability,,2024-05-19 00:00:00+00:00,CVE-2024-34241,xss
0day,Wordpress-Theme-XStore-9-3-8-SQL-injection-Vulnerability,Wordpress Theme XStore 9.3.8 - SQL injection Vulnerability,,2024-05-19 00:00:00+00:00,CVE-2024-33559,sqli
0day,Apache-OFBiz-18-12-12-Directory-Traversal-Vulnerability,Apache OFBiz 18.12.12 - Directory Traversal Vulnerability,,2024-05-19 00:00:00+00:00,CVE-2024-32113,
0day,PopojiCMS-2-0-1-Remote-Command-Execution-Exploit,PopojiCMS 2.0.1 - Remote Command Execution Exploit,,2024-05-19 00:00:00+00:00,,
0day,Backdrop-CMS-1-27-1-Remote-Command-Execution-Exploit,Backdrop CMS 1.27.1 - Remote Command Execution Exploit,,2024-05-19 00:00:00+00:00,,
0day,htmlLawed-1-2-5-Remote-Code-Execution-Exploit,htmlLawed 1.2.5 - Remote Code Execution Exploit,,2024-05-19 00:00:00+00:00,CVE-2022-35914,rce
0day,Joomla-4-2-8-Information-Disclosure-Exploit,Joomla 4.2.8 Information Disclosure Exploit,,2024-05-22 00:00:00+00:00,CVE-2023-23752,info
0day,CHAOS-5-0-8-Cross-Site-Scripting-Remote-Command-Execution-Exploi,CHAOS 5.0.8 Cross Site Scripting / Remote Command Execution Exploit,,2024-05-22 00:00:00+00:00,"CVE-2024-30850,CVE-2024-31839",xss
0day,FleetCart-4-1-1-Information-Disclosure-Vulnerability,FleetCart 4.1.1 Information Disclosure Vulnerability,,2024-05-28 00:00:00+00:00,CVE-2024-5230,info
0day,Debezium-UI-2-5-Credential-Disclosure-Vulnerability,Debezium UI 2.5 Credential Disclosure Vulnerability,,2024-05-28 00:00:00+00:00,CVE-2024-28736,
0day,Jcow-Social-Network-Cross-Site-Scripting-Vulnerability,Jcow Social Network Cross Site Scripting Vulnerability,,2024-05-28 00:00:00+00:00,,xss
0day,ElkArte-Forum-1-1-9-Remote-Code-Execution-Vulnerability,ElkArte Forum 1.1.9 Remote Code Execution Vulnerability,,2024-05-28 00:00:00+00:00,,rce
0day,Flowmon-Unauthenticated-Command-Injection-Exploit,Flowmon Unauthenticated Command Injection Exploit,,2024-05-29 00:00:00+00:00,CVE-2024-2389,
0day,changedetection-0-45-20-Remote-Code-Execution-Exploit,changedetection 0.45.20 Remote Code Execution Exploit,,2024-06-02 00:00:00+00:00,CVE-2024-32651,rce
0day,Online-Payment-Hub-System-1-0-SQL-Injection-Vulnerability,Online Payment Hub System 1.0 SQL Injection Vulnerability,,2024-06-02 00:00:00+00:00,,sqli
0day,BWL-Advanced-FAQ-Manager-2-0-3-SQL-Injection-Vulnerability,BWL Advanced FAQ Manager 2.0.3 SQL Injection Vulnerability,,2024-06-02 00:00:00+00:00,CVE-2024-32136,sqli
0day,Aquatronica-Control-System-5-1-6-Password-Disclosure-Exploit,Aquatronica Control System 5.1.6 Password Disclosure Exploit,,2024-06-02 00:00:00+00:00,,
0day,Progress-Flowmon-12-3-5-Local-sudo-Privilege-Escalation-Exploit,Progress Flowmon 12.3.5 Local sudo Privilege Escalation Exploit,,2024-06-02 00:00:00+00:00,,priv_esc
0day,ORing-IAP-420-2-01e-Cross-Site-Scripting-Command-Injection-Vulne,ORing IAP-420 2.01e Cross Site Scripting / Command Injection Vulnerabilities,,2024-06-02 00:00:00+00:00,"CVE-2024-5410,CVE-2024-5411",xss
0day,Flowmon-Unauthenticated-Command-Injection-Exploit,Flowmon Unauthenticated Command Injection Exploit,,2024-06-02 00:00:00+00:00,CVE-2024-2389,
0day,Akaunting-3-1-8-Server-Side-Template-Injection-SSTI-Vulnerabilit,Akaunting 3.1.8 - Server-Side Template Injection (SSTI) Vulnerability,,2024-06-02 00:00:00+00:00,,
0day,FreePBX-16-Remote-Code-Execution-Authenticated-Exploit,FreePBX 16 - Remote Code Execution (Authenticated) Exploit,,2024-06-02 00:00:00+00:00,,rce
0day,Wipro-Holmes-Orchestrator-20-4-1-Log-File-Disclosure-Exploit,Wipro Holmes Orchestrator 20.4.1 - Log File Disclosure Exploit,,2024-06-02 00:00:00+00:00,CVE-2021-38283,
0day,Craft-CMS-Logs-Plugin-3-0-3-Path-Traversal-Authenticated-Vulnera,Craft CMS Logs Plugin 3.0.3 - Path Traversal (Authenticated) Vulnerability,,2024-06-02 00:00:00+00:00,CVE-2022-23409,
0day,Sitefinity-15-0-Cross-Site-Scripting-Vulneraility,Sitefinity 15.0 - Cross-Site Scripting Vulneraility,,2024-06-04 00:00:00+00:00,CVE-2023-27636,
0day,Employee-And-Visitor-Gate-Pass-Logging-System-1-0-SQL-Injection-,Employee And Visitor Gate Pass Logging System 1.0 SQL Injection Vulnerability,,2024-06-04 00:00:00+00:00,,sqli
0day,Serendipity-2-5-0-Remote-Code-Execution-Exploit,Serendipity 2.5.0 - Remote Code Execution Exploit,,2024-06-04 00:00:00+00:00,,rce
0day,Dotclear-2-29-Remote-Code-Execution-Exploit,Dotclear 2.29 - Remote Code Execution Exploit,,2024-06-04 00:00:00+00:00,,rce
0day,Monstra-CMS-3-0-4-Remote-Code-Execution-Exploit,Monstra CMS 3.0.4 - Remote Code Execution Exploit,,2024-06-04 00:00:00+00:00,,rce
0day,WBCE-CMS-v1-6-2-Remote-Code-Execution-Exploit,WBCE CMS v1.6.2 - Remote Code Execution Exploit,,2024-06-04 00:00:00+00:00,,rce
0day,CMSimple-5-15-Remote-Code-Execution-Authenticated-Vulnerability,CMSimple 5.15 - Remote Code Execution (Authenticated) Vulnerability,,2024-06-04 00:00:00+00:00,,rce
0day,appRain-CMF-4-0-5-Remote-Code-Execution-Authenticated-Exploit,appRain CMF 4.0.5 - Remote Code Execution (Authenticated) Exploit,,2024-06-04 00:00:00+00:00,,rce
0day,WordPress-Hash-Form-Plugin-Remote-Code-Execution-Exploit,WordPress Hash Form Plugin Remote Code Execution Exploit,,2024-06-05 00:00:00+00:00,CVE-2024-5084,rce
0day,Quick-Cart-6-7-Shell-Upload-Vulnerability,Quick Cart 6.7 Shell Upload Vulnerability,,2024-06-13 00:00:00+00:00,,
0day,Quick-CMS-6-7-Shell-Upload-Vulnerability,Quick CMS 6.7 Shell Upload Vulnerability,,2024-06-13 00:00:00+00:00,,
0day,VSCode-ipynb-Remote-Code-Execution-Exploit,VSCode ipynb Remote Code Execution Exploit,,2024-06-13 00:00:00+00:00,CVE-2022-41034,rce
0day,Cacti-Import-Packages-Remote-Code-Execution-Exploit,Cacti Import Packages Remote Code Execution Exploit,,2024-06-13 00:00:00+00:00,CVE-2024-25641,rce
0day,Rejetto-HTTP-File-Server-HFS-Unauthenticated-Remote-Code-Executi,Rejetto HTTP File Server (HFS) Unauthenticated Remote Code Execution Exploit,,2024-06-13 00:00:00+00:00,,rce
